2020-12-27 17:12:540 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:333 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:862 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:579 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:308 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //select[@id='models']]
2020-12-27 17:12:635 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:900 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:121 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (56d94a933dffcb654e63259eba2686a5)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:423 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:571 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:386 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:903 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:570 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //select[@id='models']]
2020-12-27 17:12:792 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:49 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:271 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (faafc2ccc53b7d63612b0b79302c0dc7)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:552 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:111 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:943 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:819 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:677 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //select[@id='models']]
2020-12-27 17:12:928 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:151 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:380 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:61 INFO  BMW1SeriesPage :21 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (49b63b3e84ce24c56adfd3241544e348)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 17:12:685 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:816 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:490 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:436 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:992 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //select[@id='models']]
2020-12-27 17:12:255 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:505 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:710 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:901 INFO  BMW1SeriesPage :21 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (1bbee77434428255b5c0adcbca690e1d)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 17:12:96 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:632 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (7bd3d7f02968fd0a0a7540acc3e02cd8)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:597 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (7bd3d7f02968fd0a0a7540acc3e02cd8)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:396 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (7bd3d7f02968fd0a0a7540acc3e02cd8)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:909 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:778 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (c6facba379c8123da14554cf378bb7d1)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:440 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (c6facba379c8123da14554cf378bb7d1)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:723 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:753 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (35df88fa1e9f2b5bca2fe0b8834910b0)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:534 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (35df88fa1e9f2b5bca2fe0b8834910b0)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:231 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (35df88fa1e9f2b5bca2fe0b8834910b0)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:659 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (35df88fa1e9f2b5bca2fe0b8834910b0)] -> xpath: //select[@id='models']]
2020-12-27 17:12:847 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (35df88fa1e9f2b5bca2fe0b8834910b0)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:39 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (35df88fa1e9f2b5bca2fe0b8834910b0)] -> xpath: //select[@id='priceTo']]
